province,year_month,collection_date,sampling_purpose,age,age_bin,gender,sequencing_purpose,sequencing_instrument,coverage_breadth,coverage_depth,Ct,gisaid_accession
Alberta,2020-03,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Alberta,2020-04,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9991589571068125,0.0,0.9991589571068125
Alberta,2020-05,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9932885906040269,0.0,1.0
Alberta,2020-07,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Alberta,2020-08,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2020-09,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2020-10,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2020-11,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2020-12,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2021-01,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2021-02,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8912815126050421
Alberta,2021-03,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8701204819277109
Alberta,2021-04,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8560444254592054
Alberta,2021-05,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9591836734693877
Alberta,2021-06,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9223173140223832
Alberta,2021-07,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2021-08,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Alberta,2021-09,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
British Columbia,2020-03,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
British Columbia,2020-04,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
British Columbia,2020-05,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
British Columbia,2020-07,1.0,0.9534883720930233,0.0,0.9767441860465116,0.9767441860465116,0.9767441860465116,1.0,1.0,1.0,0.0,1.0
British Columbia,2020-09,1.0,0.717948717948718,0.0,0.8205128205128205,0.8205128205128205,0.8205128205128205,1.0,1.0,1.0,0.0,1.0
British Columbia,2020-10,1.0,0.7351778656126482,0.0,0.8320158102766798,0.8320158102766798,0.8320158102766798,1.0,1.0,1.0,0.0,1.0
British Columbia,2020-11,1.0,0.7404255319148936,0.0,0.8663829787234043,0.8663829787234043,0.8663829787234043,1.0,1.0,1.0,0.0,1.0
British Columbia,2020-12,1.0,0.9012178619756428,0.0,0.939106901217862,0.9377537212449256,0.939106901217862,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-01,1.0,0.4084507042253521,0.0,0.6563380281690141,0.6507042253521127,0.6563380281690141,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-02,1.0,0.7814569536423841,0.0,0.8609271523178808,0.859271523178808,0.8609271523178808,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-03,1.0,0.11048951048951049,0.0,0.45474525474525473,0.4541458541458541,0.45494505494505494,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-04,1.0,0.03477148505640191,0.0,0.4310966391440865,0.42981742063030587,0.4310966391440865,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-05,1.0,0.0074221338634857525,0.0,0.43631544068919814,0.4349900596421471,0.43631544068919814,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-06,1.0,0.005420054200542005,0.0,0.5020325203252033,0.5020325203252033,0.5020325203252033,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-07,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-08,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
British Columbia,2021-09,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Manitoba,2020-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manitoba,2020-04,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manitoba,2020-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manitoba,2020-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manitoba,2020-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manitoba,2020-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manitoba,2020-10,1.0,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,1.0
Manitoba,2020-11,1.0,1.0,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0
Manitoba,2020-12,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manitoba,2021-01,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.925,1.0
Manitoba,2021-02,1.0,1.0,0.967948717948718,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0
Manitoba,2021-03,1.0,1.0,0.9947368421052631,1.0,1.0,1.0,1.0,1.0,1.0,0.8210526315789474,1.0
Manitoba,2021-04,1.0,1.0,0.9883720930232558,1.0,1.0,0.9883720930232558,1.0,1.0,1.0,0.9883720930232558,1.0
Manitoba,2021-05,1.0,1.0,1.0,1.0,1.0,0.816793893129771,1.0,1.0,1.0,1.0,1.0
Manitoba,2021-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Brunswick,2020-03,1.0,1.0,0.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,0.8666666666666667,1.0
New Brunswick,2020-04,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
