country,median_days_to_deposition_aug_10,percent_cases_sequenced_and_shared,cases,median_days_to_deposition_nov_23,median_days_to_deposition_mar_17
Australia,10,46.3,9118,15,19
Belgium,10,9.16,108479,12,9
Canada,39,3.7,122410,32,28
Denmark,8,59.8,62588,8,8
France,19,1.93,843715,21,21
Germany,13,10.3,217958,14,16
India,36,0.098,6996517,42,32
Italy,14,5.16,272432,14,12
Japan,41,2.23,456721,53,39
Netherlands,18,4.83,299361,18,17
Spain,18,1.31,1060577,18,19
Sweden,21,19.6,65237,18,22
Switzerland,13,17,50975,14,14
UK,10,14.1,1793031,8,9
USA,19,3.65,3762037,23,17
