country,repository,number,date
Australia,GISAID,10,2021-08-01
Belgium,GISAID,10,2021-08-01
Canada,GISAID,39,2021-08-01
Denmark,GISAID,8,2021-08-01
France,GISAID,19,2021-08-01
Germany,GISAID,13,2021-08-01
India,GISAID,36,2021-08-01
Italy,GISAID,14,2021-08-01
Japan,GISAID,41,2021-08-01
Netherlands,GISAID,18,2021-08-01
Spain,GISAID,18,2021-08-01
Sweden,GISAID,21,2021-08-01
Switzerland,GISAID,13,2021-08-01
UK,GISAID,10,2021-08-01
USA,GISAID,15,2021-08-01
Australia,GISAID,12,2021-11-01
Belgium,GISAID,32,2021-11-01
Canada,GISAID,8,2021-11-01
Denmark,GISAID,21,2021-11-01
France,GISAID,14,2021-11-01
Germany,GISAID,42,2021-11-01
India,GISAID,14,2021-11-01
Italy,GISAID,53,2021-11-01
Japan,GISAID,18,2021-11-01
Netherlands,GISAID,18,2021-11-01
Spain,GISAID,18,2021-11-01
Sweden,GISAID,14,2021-11-01
Switzerland,GISAID,8,2021-11-01
UK,GISAID,19,2021-11-01
USA,GISAID,9,2021-11-01
Australia,Portal,28,2021-08-01
Belgium,Portal,8,2021-08-01
Canada,Portal,21,2021-08-01
Denmark,Portal,16,2021-08-01
France,Portal,32,2021-08-01
Germany,Portal,12,2021-08-01
India,Portal,39,2021-08-01
Italy,Portal,17,2021-08-01
Japan,Portal,19,2021-08-01
Netherlands,Portal,22,2021-08-01
Spain,Portal,14,2021-08-01
Sweden,Portal,9,2021-08-01
Switzerland,Portal,39,2021-08-01
UK,Portal,8,2021-08-01
USA,Portal,19,2021-08-01
Australia,Portal,13,2021-11-01
Belgium,Portal,36,2021-11-01
Canada,Portal,14,2021-11-01
Denmark,Portal,41,2021-11-01
France,Portal,18,2021-11-01
Germany,Portal,18,2021-11-01
India,Portal,21,2021-11-01
Italy,Portal,13,2021-11-01
Japan,Portal,10,2021-11-01
Netherlands,Portal,19,2021-11-01
Spain,Portal,15,2021-11-01
Sweden,Portal,12,2021-11-01
Switzerland,Portal,32,2021-11-01
UK,Portal,8,2021-11-01
USA,Portal,21,2021-11-01
