region,sequences,type
Alberta,5930,not in GISAID
British Columbia,23425,not in GISAID
Manitoba,1524,not in GISAID
New Brunswick,519,not in GISAID
Newfoundland and Labrador,124,not in GISAID
Nova Scotia,580,not in GISAID
Ontario,6795,not in GISAID
Prince Edward Island,74,not in GISAID
Quebec,20195,not in GISAID
Saskatchewan,3879,not in GISAID
Canada,63045,not in GISAID
Alberta,14020,in GISAID
British Columbia,16359,in GISAID
Manitoba,710,in GISAID
New Brunswick,394,in GISAID
Newfoundland and Labrador,271,in GISAID
Nova Scotia,284,in GISAID
Ontario,19572,in GISAID
Prince Edward Island,0,in GISAID
Quebec,7968,in GISAID
Saskatchewan,4737,in GISAID
Canada,64315,in GISAID
