région,séquences,téléchargements_à_GISAID,proportion,date
Alberta,1787,0,0,2020-09-22
Colombie-Britannique,3296,604,0.183252427,2020-09-22
Manitoba,395,15,0.037974684,2020-09-22
Nouveau-Brunswick,51,51,1,2020-09-22
Terre_Neuve-et-Labrador,35,19,0.542857143,2020-09-22
Nouvelle-Écosse,308,8,0.025974026,2020-09-22
Ontario,2927,276,0.094294499,2020-09-22
île du Prince-Édouard,22,0,0,2020-09-22
Québec,2506,725,0.289305666,2020-09-22
Saskatchewan,271,0,0,2020-09-22
Canada,11598,1698,0.146404553,2020-09-22
Alberta,2284,0,0,2020-10-02
Colombie-Britannique,4119,604,0.146637533,2020-10-02
Manitoba,477,15,0.031446541,2020-10-02
Nouveau-Brunswick,51,51,1,2020-10-02
Terre_Neuve-et-Labrador,35,19,0.542857143,2020-10-02
Nouvelle-Écosse,308,8,0.025974026,2020-10-02
Ontario,3733,613,0.16421109,2020-10-02
île du Prince-Édouard,22,0,0,2020-10-02
Québec,2978,728,0.244459369,2020-10-02
Saskatchewan,271,0,0,2020-10-02
Canada,14278,2038,0.142737078,2020-10-02
Alberta,2419,0,0,2020-10-27
Colombie-Britannique,4429,604,0.136373899,2020-10-27
Manitoba,513,270,0.526315789,2020-10-27
Nouveau-Brunswick,51,51,1,2020-10-27
Terre_Neuve-et-Labrador,35,19,0.542857143,2020-10-27
Nouvelle-Écosse,514,252,0.490272374,2020-10-27
Ontario,3930,1079,0.274554707,2020-10-27
île du Prince-Édouard,22,0,0,2020-10-27
Québec,2978,725,0.243451981,2020-10-27
Saskatchewan,290,0,0,2020-10-27
Canada,15181,3000,0.19761544,2020-10-27
Alberta,2571,0,0,2020-11-24
Colombie-Britannique,5782,604,0.104462124,2020-11-24
Manitoba,686,295,0.430029155,2020-11-24
Nouveau-Brunswick,51,51,1,2020-11-24
Terre_Neuve-et-Labrador,65,19,0.292307692,2020-11-24
Nouvelle-Écosse,514,252,0.490272374,2020-11-24
Ontario,5044,1134,0.22482157,2020-11-24
île du Prince-Édouard,26,0,0,2020-11-24
Québec,3788,725,0.191393875,2020-11-24
Saskatchewan,303,0,0,2020-11-24
Canada,18830,3080,0.163568773,2020-11-24
Alberta,3371,0,0,2020-12-18
Colombie-Britannique,7462,604,0.080943447,2020-12-18
Manitoba,1062,295,0.277777778,2020-12-18
Nouveau-Brunswick,51,51,1,2020-12-18
Terre_Neuve-et-Labrador,65,19,0.292307692,2020-12-18
Nouvelle-Écosse,514,252,0.490272374,2020-12-18
Ontario,6115,1292,0.211283729,2020-12-18
île du Prince-Édouard,36,0,0,2020-12-18
Québec,3788,725,0.191393875,2020-12-18
Saskatchewan,314,0,0,2020-12-18
Canada,22778,3238,0.142154711,2020-12-18
Alberta,3792,1541,0.406381857,2021-01-20
Colombie-Britannique,8959,924,0.103136511,2021-01-20
Manitoba,1062,295,0.277777778,2021-01-20
Nouveau-Brunswick,99,51,0.515151515,2021-01-20
Terre_Neuve-et-Labrador,86,19,0.220930233,2021-01-20
Nouvelle-Écosse,514,252,0.490272374,2021-01-20
Ontario,7371,2036,0.27621761,2021-01-20
île du Prince-Édouard,39,0,0,2021-01-20
Québec,3945,1376,0.348795944,2021-01-20
Saskatchewan,343,0,0,2021-01-20
Canada,26210,6494,0.247768027,2021-01-20
Alberta,4542,1675,0.368780273,2021-02-12
Colombie-Britannique,11670,5876,0.503513282,2021-02-12
Manitoba,1349,570,0.422535211,2021-02-12
Nouveau-Brunswick,238,169,0.710084034,2021-02-12
Terre_Neuve-et-Labrador,130,36,0.276923077,2021-02-12
Nouvelle-Écosse,916,473,0.516375546,2021-02-12
Ontario,9188,3683,0.400848933,2021-02-12
île du Prince-Édouard,50,0,0,2021-02-12
Québec,7374,2417,0.327773257,2021-02-12
Saskatchewan,480,0,0,2021-02-12
Canada,35937,14899,0.414586638,2021-02-12
Alberta,5003,1675,0.334799121,2021-02-19
Colombie-Britannique,12259,5876,0.479321315,2021-02-19
Manitoba,1417,570,0.402258292,2021-02-19
Nouveau-Brunswick,267,169,0.632958801,2021-02-19
Terre_Neuve-et-Labrador,197,103,0.52284264,2021-02-19
Nouvelle-Écosse,992,772,0.778225806,2021-02-19
Ontario,9629,3689,0.383113511,2021-02-19
île du Prince-Édouard,51,0,0,2021-02-19
Québec,7374,2417,0.327773257,2021-02-19
Saskatchewan,695,0,0,2021-02-19
Canada,37884,15271,0.403098934,2021-02-19
Alberta,6648,1675,0.251955475,2021-03-05
Colombie-Britannique,13713,5876,0.428498505,2021-03-05
Manitoba,1572,570,0.36259542,2021-03-05
Nouveau-Brunswick,305,191,0.626229508,2021-03-05
Terre_Neuve-et-Labrador,285,103,0.361403509,2021-03-05
Nouvelle-Écosse,1085,772,0.711520737,2021-03-05
Ontario,10911,5067,0.464393731,2021-03-05
île du Prince-Édouard,72,0,0,2021-03-05
Québec,8636,2786,0.322603057,2021-03-05
Saskatchewan,891,0,0,2021-03-05
Canada,44118,17040,0.38623691,2021-03-05
Alberta,7745,1675,0.21626856,2021-03-12
Colombie-Britannique,14550,5876,0.403848797,2021-03-12
Manitoba,1610,1091,0.677639752,2021-03-12
Nouveau-Brunswick,314,231,0.73566879,2021-03-12
Terre_Neuve-et-Labrador,297,190,0.63973064,2021-03-12
Nouvelle-Écosse,1096,867,0.791058394,2021-03-12
Ontario,11528,6834,0.592817488,2021-03-12
île du Prince-Édouard,75,0,0,2021-03-12
Québec,8636,2786,0.322603057,2021-03-12
Saskatchewan,994,0,0,2021-03-12
Canada,46845,19550,0.41733376,2021-03-12
Alberta,8725,1675,0.191977077,2021-03-19
Colombie-Britannique,15532,5876,0.378315735,2021-03-19
Manitoba,1624,1091,0.67179803,2021-03-19
Nouveau-Brunswick,330,230,0.696969697,2021-03-19
Terre_Neuve-et-Labrador,305,190,0.62295082,2021-03-19
Nouvelle-Écosse,1106,867,0.783905967,2021-03-19
Ontario,11788,7977,0.676705124,2021-03-19
île du Prince-Édouard,75,0,0,2021-03-19
Québec,9588,4100,0.427617856,2021-03-19
Saskatchewan,1320,0,0,2021-03-19
Canada,50393,22006,0.436687635,2021-03-19
Alberta,9529,1675,0.1757792,2021-03-26
Colombie-Britannique,17254,5876,0.340558711,2021-03-26
Manitoba,1810,1091,0.602762431,2021-03-26
Nouveau-Brunswick,356,230,0.646067416,2021-03-26
Terre_Neuve-et-Labrador,306,190,0.620915033,2021-03-26
Nouvelle-Écosse,1121,867,0.773416592,2021-03-26
Ontario,13415,10305,0.768169959,2021-03-26
île du Prince-Édouard,80,0,0,2021-03-26
Québec,10816,4203,0.388590976,2021-03-26
Saskatchewan,1674,0,0,2021-03-26
Canada,56361,24437,0.433579958,2021-03-26
Alberta,10198,1675,0.164247892,2021-04-02
Colombie-Britannique,19025,5876,0.308856767,2021-04-02
Manitoba,1810,1091,0.602762431,2021-04-02
Nouveau-Brunswick,435,230,0.528735632,2021-04-02
Terre_Neuve-et-Labrador,307,190,0.618892508,2021-04-02
Nouvelle-Écosse,1134,867,0.764550265,2021-04-02
Ontario,13696,10716,0.782418224,2021-04-02
île du Prince-Édouard,85,0,0,2021-04-02
Québec,12575,4885,0.388469185,2021-04-02
Saskatchewan,2730,0,0,2021-04-02
Canada,61995,25530,0.411807404,2021-04-02
Alberta,11579,1675,0.144658433,2021-04-09
Colombie-Britannique,20782,5876,0.282744683,2021-04-09
Manitoba,1822,1344,0.737650933,2021-04-09
Nouveau-Brunswick,500,382,0.764,2021-04-09
Terre_Neuve-et-Labrador,307,272,0.885993485,2021-04-09
Nouvelle-Écosse,1152,867,0.752604167,2021-04-09
Ontario,14327,11651,0.813219795,2021-04-09
île du Prince-Édouard,86,0,0,2021-04-09
Québec,13420,5623,0.41900149,2021-04-09
Saskatchewan,2995,0,0,2021-04-09
Canada,66970,27690,0.413468717,2021-04-09
Alberta,12497,1675,0.134032168,2021-04-16
Colombie-Britannique,22802,5876,0.257696693,2021-04-16
Manitoba,1831,1344,0.734025123,2021-04-16
Nouveau-Brunswick,557,382,0.685816876,2021-04-16
Terre_Neuve-et-Labrador,307,272,0.885993485,2021-04-16
Nouvelle-Écosse,1183,1086,0.918005072,2021-04-16
Ontario,14621,11680,0.798850968,2021-04-16
île du Prince-Édouard,94,0,0,2021-04-16
Québec,15772,5717,0.362477809,2021-04-16
Saskatchewan,3128,0,0,2021-04-16
Canada,72792,28032,0.385097263,2021-04-16
Alberta,13638,1675,0.122818595,2021-04-23
